job_role,skills
Data Scientist,"Python,SQL,Machine Learning,Data Analysis,Statistics,Deep Learning"
ML Engineer,"Python,TensorFlow,PyTorch,Deep Learning,Neural Networks,Optimization"
DevOps Engineer,"AWS,Docker,Kubernetes,CI/CD,Linux,Git,Automation,Cloud"
Backend Developer,"Java,Python,SQL,APIs,REST,Node.js,Databases,Git"
Frontend Developer,"JavaScript,React,CSS,HTML,UI/UX,TypeScript,Figma"
Cloud Architect,"AWS,Azure,GCP,Cloud,Automation,Infrastructure,DevOps"
Data Analyst,"SQL,Excel,Power BI,Python,Data Visualization,Statistics,Reporting"
Cybersecurity Analyst,"Networking,Linux,Firewalls,Ethical Hacking,Penetration Testing,Security"
Mobile Developer,"Flutter,Dart,Java,Swift,iOS,Android,React Native"
AI Engineer,"Python,NLP,Computer Vision,LLMs,RAG Pipelines,Deep Learning,TensorFlow"